[2025-10-05 06:05:01]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.253s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.162s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.073s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.119s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.132s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.103s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:02]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:03]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.092s]
[2025-10-05 06:05:03]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:03]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
[2025-10-05 06:05:03]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.060s]
[2025-10-05 06:05:03]GET http://localhost:9201/cbeta-ik/_search [status:200 request:0.002s]
