page_name,cid,next_cid,ocr_txt,cmp_txt,next_ocr_txt,next_cmp_txt,link
PH_1_21,106,107,一,一,一,「,https://work.tripitakas.net/page/PH_1_21?cid=106
PH_1_23,3,4,一,一,一,「,https://work.tripitakas.net/page/PH_1_23?cid=3
PH_1_26,348,349,一,一,一,『,https://work.tripitakas.net/page/PH_1_26?cid=348
PH_1_42,307,308,一,一,一,『,https://work.tripitakas.net/page/PH_1_42?cid=307
PH_1_47,42,43,一,一,一,七,https://work.tripitakas.net/page/PH_1_47?cid=42
PH_1_60,135,136,一,一,一,〔,https://work.tripitakas.net/page/PH_1_60?cid=135
PH_1_60,149,150,一,一,一,〔,https://work.tripitakas.net/page/PH_1_60?cid=149
PH_1_60,366,367,一,一,一,〔,https://work.tripitakas.net/page/PH_1_60?cid=366
PH_1_60,380,381,一,一,一,〔,https://work.tripitakas.net/page/PH_1_60?cid=380
PH_1_64,175,176,一,一,一,〇,https://work.tripitakas.net/page/PH_1_64?cid=175
PH_1_64,239,240,一,一,一,〇,https://work.tripitakas.net/page/PH_1_64?cid=239
PH_1_71,121,122,一,一,一,『,https://work.tripitakas.net/page/PH_1_71?cid=121
PH_1_73,553,554,一,一,一,〇,https://work.tripitakas.net/page/PH_1_73?cid=553
PH_1_82,287,288,一,一,一,『,https://work.tripitakas.net/page/PH_1_82?cid=287
PH_1_87,140,141,一,一,一,〇,https://work.tripitakas.net/page/PH_1_87?cid=140
PH_1_89,304,305,一,一,一,■,https://work.tripitakas.net/page/PH_1_89?cid=304
PH_1_100,409,410,一,一,一,〇,https://work.tripitakas.net/page/PH_1_100?cid=409
PH_1_103,538,539,一,一,一,■,https://work.tripitakas.net/page/PH_1_103?cid=538
PH_1_112,40,41,一,一,一,八,https://work.tripitakas.net/page/PH_1_112?cid=40
PH_1_120,150,151,一,一,一,『,https://work.tripitakas.net/page/PH_1_120?cid=150
PH_1_132,629,630,一,一,一,』,https://work.tripitakas.net/page/PH_1_132?cid=629
