page_name,cid,next_cid,ocr_txt,cmp_txt,next_ocr_txt,next_cmp_txt,link
PH_1_52,292,293,一,一,若,若,https://work.tripitakas.net/page/PH_1_52?cid=292
PH_1_52,519,520,一,一,切,切,https://work.tripitakas.net/page/PH_1_52?cid=519
PH_1_52,535,536,一,一,分,分,https://work.tripitakas.net/page/PH_1_52?cid=535
PH_1_52,568,569,一,一,分,分,https://work.tripitakas.net/page/PH_1_52?cid=568
PH_1_52,593,594,一,一,分,分,https://work.tripitakas.net/page/PH_1_52?cid=593
PH_1_52,629,630,一,一,分,分,https://work.tripitakas.net/page/PH_1_52?cid=629
PH_1_101,193,194,一,一,四,四,https://work.tripitakas.net/page/PH_1_101?cid=193
PH_1_101,317,318,一,一,人,人,https://work.tripitakas.net/page/PH_1_101?cid=317
PH_1_101,394,395,一,一,家,家,https://work.tripitakas.net/page/PH_1_101?cid=394
PH_1_101,399,400,一,一,餐,餐,https://work.tripitakas.net/page/PH_1_101?cid=399
PH_1_101,424,425,一,一,施,施,https://work.tripitakas.net/page/PH_1_101?cid=424
PH_1_101,442,443,一,一,曰,日,https://work.tripitakas.net/page/PH_1_101?cid=442
PH_1_101,444,445,一,一,食,食,https://work.tripitakas.net/page/PH_1_101?cid=444
PH_1_101,448,449,一,一,食,食,https://work.tripitakas.net/page/PH_1_101?cid=448
PH_1_101,456,457,一,一,食,食,https://work.tripitakas.net/page/PH_1_101?cid=456
PH_1_101,462,463,一,一,食,食,https://work.tripitakas.net/page/PH_1_101?cid=462
PH_1_101,468,469,一,一,定,定,https://work.tripitakas.net/page/PH_1_101?cid=468
PH_1_103,17,18,一,一,其,其,https://work.tripitakas.net/page/PH_1_103?cid=17
PH_1_103,330,331,一,一,夜,夜,https://work.tripitakas.net/page/PH_1_103?cid=330
PH_1_103,418,419,一,一,夜,夜,https://work.tripitakas.net/page/PH_1_103?cid=418
PH_1_103,538,539,一,一,一,■,https://work.tripitakas.net/page/PH_1_103?cid=538
PH_1_103,612,613,一,一,食,食,https://work.tripitakas.net/page/PH_1_103?cid=612
PH_1_103,618,619,一,一,定,定,https://work.tripitakas.net/page/PH_1_103?cid=618
PH_1_112,40,41,一,一,一,八,https://work.tripitakas.net/page/PH_1_112?cid=40
PH_1_112,51,52,一,一,九,九,https://work.tripitakas.net/page/PH_1_112?cid=51
PH_1_112,65,66,一,一,爲,為,https://work.tripitakas.net/page/PH_1_112?cid=65
PH_1_112,84,85,一,一,亦,亦,https://work.tripitakas.net/page/PH_1_112?cid=84
PH_1_112,102,103,一,一,亦,亦,https://work.tripitakas.net/page/PH_1_112?cid=102
PH_1_112,146,147,一,一,亦,亦,https://work.tripitakas.net/page/PH_1_112?cid=146
PH_1_112,252,253,一,一,□,『,https://work.tripitakas.net/page/PH_1_112?cid=252
PH_1_112,339,340,一,一,物,物,https://work.tripitakas.net/page/PH_1_112?cid=339
PH_1_112,359,360,一,一,布,布,https://work.tripitakas.net/page/PH_1_112?cid=359
PH_1_112,390,391,一,一,想,想,https://work.tripitakas.net/page/PH_1_112?cid=390
PH_1_112,412,413,一,一,阳,』,https://work.tripitakas.net/page/PH_1_112?cid=412
PH_1_112,471,472,一,一,物,物,https://work.tripitakas.net/page/PH_1_112?cid=471
PH_1_112,488,489,一,一,布,布,https://work.tripitakas.net/page/PH_1_112?cid=488
PH_1_112,520,521,一,一,想,想,https://work.tripitakas.net/page/PH_1_112?cid=520
PH_1_112,542,543,一,一,也,也,https://work.tripitakas.net/page/PH_1_112?cid=542
PH_1_112,595,596,一,一,物,物,https://work.tripitakas.net/page/PH_1_112?cid=595
PH_1_112,612,613,一,一,布,布,https://work.tripitakas.net/page/PH_1_112?cid=612
PH_1_112,639,640,一,一,想,想,https://work.tripitakas.net/page/PH_1_112?cid=639
PH_1_112,661,662,一,一,恤,』,https://work.tripitakas.net/page/PH_1_112?cid=661
PH_1_117,13,14,一,一,世,世,https://work.tripitakas.net/page/PH_1_117?cid=13
PH_1_117,61,62,一,一,殿,殿,https://work.tripitakas.net/page/PH_1_117?cid=61
PH_1_117,66,67,一,一,梯,梯,https://work.tripitakas.net/page/PH_1_117?cid=66
PH_1_117,85,86,一,一,殿,殿,https://work.tripitakas.net/page/PH_1_117?cid=85
PH_1_117,229,230,一,一,向,向,https://work.tripitakas.net/page/PH_1_117?cid=229
PH_1_118,458,459,一,一,梯,梯,https://work.tripitakas.net/page/PH_1_118?cid=458
PH_1_118,466,467,一,一,殿,殿,https://work.tripitakas.net/page/PH_1_118?cid=466
PH_1_134,52,53,一,一,尊,師,https://work.tripitakas.net/page/PH_1_134?cid=52
PH_1_134,178,179,一,一,師,師,https://work.tripitakas.net/page/PH_1_134?cid=178
PH_1_134,197,198,一,一,七,七,https://work.tripitakas.net/page/PH_1_134?cid=197
PH_1_134,203,204,一,一,師,師,https://work.tripitakas.net/page/PH_1_134?cid=203
PH_1_134,427,428,一,一,師,師,https://work.tripitakas.net/page/PH_1_134?cid=427
PH_1_134,674,675,一,一,九,九,https://work.tripitakas.net/page/PH_1_134?cid=674
PH_1_139,17,18,一,一,五,五,https://work.tripitakas.net/page/PH_1_139?cid=17
PH_1_139,77,78,一,一,無,無,https://work.tripitakas.net/page/PH_1_139?cid=77
PH_1_139,95,96,一,一,≡,■,https://work.tripitakas.net/page/PH_1_139?cid=95
PH_1_139,274,275,一,一,七,七,https://work.tripitakas.net/page/PH_1_139?cid=274
PH_1_139,384,385,一,一,八,八,https://work.tripitakas.net/page/PH_1_139?cid=384
PH_1_157,242,243,一,一,病,老,https://work.tripitakas.net/page/PH_1_157?cid=242
PH_1_157,483,484,一,一,O,〇,https://work.tripitakas.net/page/PH_1_157?cid=483
PH_1_160,291,292,一,一,九,九,https://work.tripitakas.net/page/PH_1_160?cid=291
PH_1_160,392,393,一,一,切,切,https://work.tripitakas.net/page/PH_1_160?cid=392
PH_1_161,373,374,一,一,諸,諸,https://work.tripitakas.net/page/PH_1_161?cid=373
PH_1_161,466,467,一,一,切,切,https://work.tripitakas.net/page/PH_1_161?cid=466
PH_1_162,23,24,一,一,一,『,https://work.tripitakas.net/page/PH_1_162?cid=23
PH_1_162,146,147,一,一,切,切,https://work.tripitakas.net/page/PH_1_162?cid=146
PH_1_162,151,152,一,一,切,切,https://work.tripitakas.net/page/PH_1_162?cid=151
PH_1_162,304,305,一,一,大,大,https://work.tripitakas.net/page/PH_1_162?cid=304
PH_1_163,64,65,一,一,切,切,https://work.tripitakas.net/page/PH_1_163?cid=64
PH_1_163,69,70,一,一,切,切,https://work.tripitakas.net/page/PH_1_163?cid=69
PH_1_166,55,56,一,一,面,面,https://work.tripitakas.net/page/PH_1_166?cid=55
PH_1_166,176,177,一,一,一,二,https://work.tripitakas.net/page/PH_1_166?cid=176
PH_1_166,307,308,一,一,一,三,https://work.tripitakas.net/page/PH_1_166?cid=307
PH_1_166,507,508,一,一,面,面,https://work.tripitakas.net/page/PH_1_166?cid=507
PH_1_166,510,511,一,一,九,九,https://work.tripitakas.net/page/PH_1_166?cid=510
PH_1_166,659,660,一,一,諸,諸,https://work.tripitakas.net/page/PH_1_166?cid=659
PH_1_168,315,316,一,一,道,道,https://work.tripitakas.net/page/PH_1_168?cid=315
PH_1_168,403,404,一,一,一,一,https://work.tripitakas.net/page/PH_1_168?cid=403
PH_1_168,404,405,一,一,出,出,https://work.tripitakas.net/page/PH_1_168?cid=404
PH_1_168,432,433,一,一,年,年,https://work.tripitakas.net/page/PH_1_168?cid=432
PH_1_168,446,447,一,一,年,年,https://work.tripitakas.net/page/PH_1_168?cid=446
PH_1_168,624,625,一,一,年,年,https://work.tripitakas.net/page/PH_1_168?cid=624
PH_1_168,628,629,一,一,年,年,https://work.tripitakas.net/page/PH_1_168?cid=628
PH_1_204,29,30,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=29
PH_1_204,37,38,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=37
PH_1_204,101,102,一,一,劫,劫,https://work.tripitakas.net/page/PH_1_204?cid=101
