vol_page,page_names,page_name,end_page_name,reel_code,src,should_delete,remark,word_txt
第27册／第537页,JS_27_1073#JS_27_1074,JS_27_1074,,JS_202_3,国图径山藏,,,康熙辛酉重刊。
第2册／第585页,JS_2_1169#JS_2_1170,JS_29_1170,,JS_352_1,国图径山藏,,,康熙辛酉重□。
第2册／第586页,JS_2_1171#JS_2_1172,JS_29_1171,,JS_352_1,国图径山藏,,,康熙辛酉重□。
第49册／第518页,JS_49_1035#JS_49_1036,JS_49_1036,JS_49_1037,JS_1092_7,国图径山藏,,,当湖冯洪业募资续镌法藏方册。愿周法界，缁白四众，咸满如来四弘誓海，妙严戒德，究竟圆觉；愿多生父母，咸
第49册／第519页,JS_49_1037#JS_49_1038,JS_49_1037,,JS_1092_7,国图径山藏,1,应与上一条合并,被资薰，证入法流，诞登觉岸，俾业乘愿，入死出生，不迷本性，具足正知；又愿藏教遐讫，声光绵缈，见闻成种，依正互融，民风还淳，永无灾难。
第59册／第320页,JS_59_639#JS_59_640,JS_59_640,,JS_1169_25,国图径山藏,,,康熙辛酉重刊。
第69册／第278页,JS_69_555#JS_69_556,JS_69_556,,JS_1261_120,国图径山藏,,,戊午恒瑞重刊。
第69册／第279页,JS_69_557#JS_69_558,JS_69_557,,JS_1261_120,国图径山藏,,,戊午恒瑞重刊。
第98册／第297页,JS_98_593#JS_98_594,JS_98_594,JS_98_596,JS_1535_32,国图径山藏,,,施资姓氏：
第98册／第298页,JS_98_595#JS_98_596,JS_98_595#JS_98_596,,JS_1535_32,国图径山藏,1,应与上一条合并,比丘明得、方义各一两，宗礼四钱，真观三钱，戒基、圆亮、善果、文晓、明锦、寂澄、明浩、真见、如心、真祚、永堂、真鉴、海蜃、广远、如莲、明吉、如遐、真闻、本清、真性、戒淳、智通、如恺、明净、如实、真慈、明伦、真见、真净、性龙、如灯、方昆、如昶、宝岩、明慎、如慧各二钱，方堂、正承、长明、惠旵、寂经、慧清、天台僧各一钱；宰官陆光祖一两，包柽芳十两；善男子张守约四钱，周祯、周之琦、周祖、周祝、周祇、董世维、张遗安、陈如澄、胡文宗、吕应律、潘海会、汤如惠、张得济、王真志、徐季明、凌明心、徐守仁、徐守义、徐守礼、徐守智、王在德、冯真麒、冯真麟、董大本、孟昌、邹武、金俊各二钱，方象坤、张明秀、孙宗宥、闵名山、姚如名、沈圆刚、曹鋌、顾汀、宋浦、王在邦、沈可贤、王銮各一钱；僧俗法名时久失辨，另列于此：明惠、如觉、能智、圆秀、证讹、真常、圆仁、真乘、皎然、海聚、守坚、明常、守成、普清、性德、寂潮、惟昇、寂德、海霞、性定、海贤各二钱，恒心、惟乾、方岘各一钱，沈义；比丘尼如住一两；善女人孙氏一两，吕氏二钱五分，真观、惟龙、妙戒、海音、明岩、戒淳、妙常、性龙、妙通、顾氏、屈氏、顾氏、王氏、顾氏、方氏、周氏、张氏、严氏、任氏、沈氏、邵氏、孙氏、汤氏、施氏、冯氏、潘氏、张氏各二钱，计如晓、陆氏、周氏、沈氏、吴氏、沈氏、韦氏、董海会、归氏、官姐各一钱，如憩八分，明勤四分。已上施银共肆拾两有奇，适善女人真洁，愿圆成胜果，遂得梓行不复他募。伏愿大众三世业空，一乘果熟，人人不违本愿，处处普遍法云。比丘明觉募施并识。
第111册／第236页,JS_111_471#JS_111_472,JS_111_471#JS_111_472,,JS_1620_3,国图径山藏,,,信士周文英为先祖周亨、祖母张氏刻。
第111册／第372页,JS_111_743#JS_111_744,JS_111_743,,JS_1620_13,国图径山藏,,,信士吳承周刻。
第111册／第372页,JS_111_743#JS_111_744,JS_111_744,,JS_1620_13,国图径山藏,,,信士□□室□氏□□□刻。
第111册／第373页,JS_111_745#JS_111_746,JS_111_745#JS_111_746,,JS_1620_13,国图径山藏,,,信士□□室□氏□□□刻。
第112册／第341页,JS_112_681#JS_112_682,JS_112_681,,JS_1622_2,據《明藏跋》補,,保留第二卷刊记,吏部尚书平湖陆光祖施资刻此《大明三藏法数》第二卷。嘉禾沙弥道梅对，长洲徐普书，进贤洪以仁刻。万曆癸巳仲冬径山兴圣万寿禅寺识。
第112册／第355页,JS_112_709#JS_112_710,JS_112_709,,JS_1622_3,據《明藏跋》補,,保留第三卷刊记,贵州提学副使嘉兴抱〔包〕柽芳施资刻此《大明三藏法数》第三卷。嘉禾沙弥道梅对，长洲徐普书，进贤洪以仁刻。万曆癸巳仲冬径山兴圣万寿禅寺识。
第112册／第370页,JS_112_739#JS_112_740,JS_112_739,,JS_1622_4,據《明藏跋》補,,保留第四卷刊记,贵州提学副使嘉兴包柽芳施资刻此《大明三藏法数》第四卷。嘉禾沙弥道梅对，长洲徐普书，南京锦衣卫人陈继先刻。万曆癸巳仲冬径山兴圣万寿禅寺识。
第112册／第384页,JS_112_767#JS_112_768,JS_112_767,,JS_1622_5,據《明藏跋》補,,保留第五卷刊记,贵州提学副使嘉兴包柽芳施资刻此《大明三藏法数》第五卷。嘉禾沙弥道梅对，长洲徐普书，庐陵晏宗还刻。万曆癸巳仲冬径山兴圣万寿禅寺识。
第112册／第399页,JS_112_797#JS_112_798,JS_112_797,,JS_1622_6,據《明藏跋》補,,保留第六卷刊记,贵州提学副使嘉兴包柽芳施资刻此《大明三藏法数》第六卷。嘉禾沙弥道梅对，长洲徐普书，建阳邹友刻。万曆癸巳孟冬兴圣万寿禅寺识。
第112册／第414页,JS_112_827#JS_112_828,JS_112_827,,JS_1622_7,據《明藏跋》補,,保留第七卷刊记,嘉兴居士包世熙施资刻此《大明三藏法数》第七卷。嘉禾沙弥道梅对，长洲徐普书，建阳邹友刻。万曆癸巳孟冬径山兴圣万寿禅寺识。
第112册／第457页,JS_112_913#JS_112_914,JS_112_914,,JS_1622_10,據《明藏跋》補,,保留第十卷刊记,嘉兴优婆塞张明广同男张科募化，比丘满贤，信士朱文、张广瓒、俞成明、黄普信、沈臻、钱明芳、张俊夫、平鹤、张瑞、李宠、范应元、郁仁、沈昭、谢鲲、潘德本、陆智恒、金盘、寿明宗、施智鉴、项宗、吴氏、戚门李氏共施资刻此《大明三藏法数》第十卷。槜李沙弥释道梅对，长洲徐普书，吴县仇鹏刻。万曆癸巳仲冬径山兴圣万寿禅寺识。
第112册／第472页,JS_112_943#JS_112_944,JS_112_943,,JS_1622_11,據《明藏跋》補,,保留第十一卷刊记,嘉兴优婆塞张明广同男张科募化，冯秀、范氏、广利、广程、李氏、智洪、圆清、王真觉、吴德纯、徐真义共施资刻此《大明三藏法数》第十一卷。槜李沙门释道梅对，长洲徐普书，进贤洪以仁刻。万曆癸巳仲冬径山兴圣万寿禅寺识。
第112册／第526页,JS_112_1051#JS_112_1052,JS_112_1051,,JS_1622_15,據《明藏跋》補,,保留第十五卷刊记,嘉兴居士包世熙施资刻此《大明三藏法数》第十五卷。嘉禾沙弥道梅对，长洲徐普书，溧水杨应元刻。万曆癸巳仲冬径山兴圣万寿禅寺识。
第112册／第539页,JS_112_1077#JS_112_1078,JS_112_1078,,JS_1622_16,據《明藏跋》補,,保留第十六卷刊记,嘉兴居士包世杰施资刻此《大明三藏法数》第十六卷。嘉禾沙弥道梅对，长洲徐普书，吴县金世科刻。万曆癸巳仲冬径山兴圣万寿禅寺识。
第112册／第607页,JS_112_1213#JS_112_1214,JS_112_1213,,JS_1622_21,據《明藏跋》補,,保留第二十一卷刊记,丹阳居士贺学礼、贺学易施资刻此《大明三藏法数》第二十一卷，荐父江西按察司廉使贺邦泰，愿神游净国，永出爱河。嘉禾沙弥道梅对，长洲徐普书，溧水端学尧刻。
第112册／第620页,JS_112_1239#JS_112_1240,JS_112_1240,,JS_1622_22,據《明藏跋》補,,保留第二十二卷刊记,万曆癸巳仲冬径山兴圣万寿禅寺识。丹阳居士贺学古、贺学仁施资刻此《大明三藏法数》第二十二卷，荐父江西按察司廉使贺邦泰，愿神游净国，永出爱河。嘉禾沙弥道梅对，长洲徐普书，溧水毛诗荣刻。万曆癸巳仲冬径山兴圣万寿禅寺识。
第113册／第196页,JS_113_391#JS_113_392,JS_113_392,,JS_1622_37,據《明藏跋》補,,保留第三十七卷刊记,金坛居士于玉德施资刻此《大明三藏法数》第三十七卷。恩江沙弥可震对，长洲徐普书，进贤翁正福刻。万曆甲午仲冬径山兴圣万寿禅寺识。
