JS1303_001	    JS_79_503	None	K,K,K,K
YB1523_001x1	YB_153_87	4	X,G
YB1523_001x1	YB_153_88	17	X,G
YB1527_001x1	YB_154_423	6	X,G
YB1527_001x1	YB_154_424	16	X,G
YB1527_001x1	YB_154_425	16	X,G
YB1527_001x1	YB_154_427	6	X,G
YB1527_001x1	YB_154_428	6	X,G
YB1527_001x1	YB_154_429	16	X,G
YB1527_001x1	YB_154_430	16	X,G
YB1531a_001x1	YB_155_481	16	X,G
YB1531a_001x1	YB_155_482	18	X,G
YB1531a_001x1	YB_155_483	16	X,G
YB1531a_001x1	YB_155_485	7	X,G
YB1531a_001x1	YB_155_486	6	X,G
YB1531a_001x1	YB_155_487	12	X,G
YB1542_001x1	YB_163_1	6	X,G
YB1542_001x1	YB_163_2	13	X,G
YB1544_001x1	YB_163_115	6	X,G
YB1544_001x1	YB_163_116	18	X,G
YB1572_004z1	YB_167_141	6	B,G
YB1572_004z1	YB_167_142	16	B,G
YB1572_004z1	YB_167_143	16	B,G
YB1572_004z1	YB_167_145	5	B,G
YB1576_001z1	YB_167_613	6	B,G
YB1576_001z1	YB_167_614	16	B,G
YB1595_001z1	YB_174_708	16	B,G
YB1598_001z1	YB_174_782	6	B,G
YB1598_001z1	YB_174_783	16	B,G
YB1637_003z1	YB_188_698	6	B,G
YB1638_005z1	YB_188_897	6	F,G
YB1638_005z1	YB_188_898	17	F,G
YB1638_005z1	YB_188_899	17	F,G
YB1638_005z1	YB_188_901	6	F,G
YB1638_005z1	YB_188_902	6	F,G
