Page: PH_10_1, Center column idx: 16, col_no: None, chars: 六末後一頌結歎所說第二地竟惱上翹灔杕征圾懶臟躰卷
Page: PH_10_10, Center column idx: 0, col_no: 1, chars: 華闞經探玄記卷五十地品第二十二三明地厭行分捨狹劣心名護小乘行護狹心起悲二四
Page: PH_10_100, Center column idx: 0, col_no: 1, chars: 華嚴絰探玄記卷六十地品第二十二六現前地證理成行得果釋文讚請分三二
Page: PH_10_101, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地讚請分正說分勝慢對治三三
Page: PH_10_102, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地正說分勝慢對治三四
Page: PH_10_103, Center column idx: 17, col_no: 18, chars: 華嚴經探玄記卷六十地品第二十二六現前地正說分勝慢對治三五
Page: PH_10_104, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地正說分勝慢對治三六
Page: PH_10_105, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地不住道行勝就初住地以明不住行三七
Page: PH_10_106, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品六現前地就正住地以明不住法界綠起十二有支料簡分齊就經釋論三八
Page: PH_10_107, Center column idx: 17, col_no: 18, chars: 華殿經探玄記卷六十地品六現前地就正住地以明不住料簡分齊經論對攝相對相攝釋文三九
Page: PH_10_108, Center column idx: 0, col_no: 1, chars: 華殿經探玄記卷六十地品第二十二六現前地一因綠分次第觀依經釋倒執有我妄起綠分四○
Page: PH_10_109, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地一因緣分次第觀依經釋迷諸諦理起綠次第四一
Page: PH_10_11, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷五十地品第三十二三明地厭行分捨狹劣心名護小乘行護狹心救度二五
Page: PH_10_110, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地一因緣分次第觀依經釋迷諸諦理起緣次第四二
Page: PH_10_111, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地一因緣分次第觀依論約相諦分別釋四三
Page: PH_10_112, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地一因緣分次第觀依論約相諦分別釋四四
Page: PH_10_113, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地一因綠分次第觀依論約相諦分別釋四五
Page: PH_10_114, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地一因緣分次第觀約大悲隨順釋約一切相智分別釋四六
Page: PH_10_115, Center column idx: 18, col_no: 19, chars: 華嚴經探玄記卷六十地品第二十二六現前地三心所攝觀依經釋明心作三界約集起門四七
Page: PH_10_116, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地二一心所攝觀明心持十二約依持門四八
Page: PH_10_117, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地三心所攝觀依論約厭離有爲就相語分別四九
Page: PH_10_118, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品六現前地大悲隨顺分別一切相智分別三自業助成觀依經釋五○
Page: PH_10_119, Center column idx: 18, col_no: 19, chars: 華嚴經探玄記卷六十地品第二十二六現前地三自業助成觀依經釋約厭讎有爲分別五一
Page: PH_10_12, Center column idx: 0, col_no: 1, chars: 華闞經探玄記卷五十地品第二十二三明地厭行分上求廣大名方便攝行二六
Page: PH_10_120, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品六現前地三自業助成觀大悲分別一切相智分別四不相捨離觀依經釋五二
Page: PH_10_121, Center column idx: 0, col_no: 1, chars: 爲順觀逆成一眞理平等觀經文可知
Page: PH_10_122, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地四不相捨離觀厭離有爲分別大悲分別五四
Page: PH_10_123, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地一切相智分別五三道不断觀依經釋厭雌有爲分別五五
Page: PH_10_124, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品六現前地厭雕有爲分別大悲分別大智分別六分別先後際觀依經釋五六
Page: PH_10_125, Center column idx: 16, col_no: 17, chars: 華服經探玄記卷六十地品第二十二六現前地六分別先後際觀厭雕有爲分別五七
Page: PH_10_126, Center column idx: 0, col_no: 1, chars: 華殿經探玄記卷六十地品第二十二六現前地六分別先後除親厭雕有爲分別五八
Page: PH_10_127, Center column idx: 16, col_no: 17, chars: 華嚴䞓探玄記卷六十地品第二十二六現前地六分別先後際觀大悲分別大智分別五九
Page: PH_10_128, Center column idx: 0, col_no: 1, chars: 華𧠀經探玄記卷六十地品第二十二六現前地七三苦分別觀依經釋厭𩀌有爲分別六
Page: PH_10_129, Center column idx: 19, col_no: 20, chars: 華嚴經探玄記卷六十地品六現前地七三苦分別觀大悲分別一切相智分別八因緣生觀依經釋六一
Page: PH_10_13, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷五十地品三明地上求廣大名方便攝行起觀方便標趣方便觀求方便二七
Page: PH_10_130, Center column idx: 0, col_no: 1, chars: 華厰經探玄記卷六十地品第二十二六現前地八因綠生觀厭離有爲分別六二
Page: PH_10_131, Center column idx: 18, col_no: 19, chars: 華嚴絕探玄記卷六十地品第二十二六現前地八因緣生觀厭離有爲分別大悲分別一切相智分別六三
Page: PH_10_132, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地九因綠縛說觀依經釋厭離有爲分別大悲分別六四
Page: PH_10_133, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品六現前地一切相智分別十無所有盡觀依經釋厭離有爲分別大悲分別六五
Page: PH_10_134, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地別釋十門十無所有盡觀一切相智分別總秸十章六六
Page: PH_10_135, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地總結十章六七
Page: PH_10_136, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地總結十章彼集勝行果得對治行勝及離障勝六八
Page: PH_10_137, Center column idx: 16, col_no: 17, chars: 華殿䞓探玄記卷六十地品第二十二六現前地彼果勝得對治行勝及離障勝六九
Page: PH_10_138, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地彼果勝得對治行勝及離障勝得修行勝七〇
Page: PH_10_139, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地彼果勝得修行勝𰁕一
Page: PH_10_14, Center column idx: 1, col_no: 2, chars: 華嚴經探玄記卷五十地品第二十二三明地上求廣大名方便攝行正知方便二八
Page: PH_10_140, Center column idx: 0, col_no: 1, chars: 華嚴䞓探玄記卷六十地品第二十二六現前地彼果勝得修行勝得三昧勝七二
Page: PH_10_141, Center column idx: 0, col_no: 1, chars: 称言𦀇
Page: PH_10_142, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地彼果勝得不壞心勝得自在力勝七四
Page: PH_10_143, Center column idx: 16, col_no: 17, chars: 華儼經探玄記卷六十地品第二十二六現前地彼果分符自在力勝位果調柔果七五
Page: PH_10_144, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地彼果分位果調柔果七六
Page: PH_10_145, Center column idx: 0, col_no: 1, chars: 之一二
Page: PH_10_146, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地攝報果願智果偈頌七八
Page: PH_10_147, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地偈頌七九
Page: PH_10_148, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地偈頌召
Page: PH_10_149, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二六現前地偈頌八一
Page: PH_10_15, Center column idx: 17, col_no: 18, chars: 華嚴經探玄記卷五十地品第二十二三明地厭行分上求廣大名方便攝行攝修方便二一九
Page: PH_10_150, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二六現前地偈頌七遠行地釋名來意離障八二
Page: PH_10_151, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二七遠行地離障證理成行得果釋文讚請分八三
Page: PH_10_152, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地讚請分八四
Page: PH_10_153, Center column idx: 17, col_no: 18, chars: 華巖經探玄記卷六十地品第二十二七遠行地正說分樂無作行對治差別八五
Page: PH_10_154, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地正說分樂無作行對治差別八六
Page: PH_10_155, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二七遠行地樂無作行對治差別八七
Page: PH_10_156, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地彼障對治差別修行無量種八八
Page: PH_10_157, Center column idx: 17, col_no: 18, chars: 華嚴經探玄記卷六十地品第二十二七遠行地彼障對治差別修行無量種八九
Page: PH_10_158, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地彼障對治差別修行無量種九○
Page: PH_10_159, Center column idx: 17, col_no: 18, chars: 華嚴經探玄記卷六十地品第二十二七遠行地彼障對治差別修行無功用行九一
Page: PH_10_16, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷五十地品第二十二三明地厭行分上求廣大名方便攝行攝修方便二○
Page: PH_10_160, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地雙行差別九二
Page: PH_10_161, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二七遠行地雙行差別九三
Page: PH_10_162, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地雙行差別九四
Page: PH_10_163, Center column idx: 17, col_no: 18, chars: 華嚴經探玄記卷六十地品第二十二七遠行地上地勝差別勝削六地九五
Page: PH_10_164, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地上地勝差別勝前六地九六
Page: PH_10_165, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二七遠行地上地勝差別勝後三地九七
Page: PH_10_166, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地上地勝差別勝後三地九八
Page: PH_10_167, Center column idx: 18, col_no: 19, chars: 華嚴經探玄記卷六十地品第二十二七遠行地雙行果差別業淸淨九九
Page: PH_10_168, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地雙行果差別業淸淨得勝三昧一○○
Page: PH_10_169, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二七遠行地雙行果差別得勝三昧亘
Page: PH_10_17, Center column idx: 0, col_no: 1, chars: 應求法何況人中諸小苦惱爲求法故發如是心又如所聞法心常喜樂悉能正觀
Page: PH_10_170, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地雙行果差別過地行修善巧過作業廣大過一○二
Page: PH_10_171, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二七遠行地雙行果差別過地作業廣大過行餘勝入過一○三
Page: PH_10_172, Center column idx: 0, col_no: 1, chars: 華儼經探玄記卷六十地品七遠行地雙行果差別過地行倏勝入過得勝行三靡拨提勝行○四
Page: PH_10_173, Center column idx: 17, col_no: 18, chars: 華嚴經探玄記卷六十地品笛二十二七遠行地雙行果差別得勝行發起勝行一〇五
Page: PH_10_174, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地雙行果差別得勝行發起勝行位果一○六
Page: PH_10_175, Center column idx: 17, col_no: 18, chars: 華嚴經探玄記卷六十地品第二十二七遠行地位果調柔果一〇七
Page: PH_10_176, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地位果○八
Page: PH_10_177, Center column idx: 20, col_no: 21, chars: 華嚴經探玄記卷六十地品第二十二七遠行地攝報果願智果偈頸○九
Page: PH_10_178, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地偈頌二〇
Page: PH_10_179, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二七遠行地偈頌三二
Page: PH_10_18, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷五十地品第二十二三明地厭行分上求廣大名方便攝行攝修方便二二
Page: PH_10_180, Center column idx: 0, col_no: 1, chars: 華嚴經探玄記卷六十地品第二十二七遠行地偈頌八不動地釋名來意離障二
Page: PH_10_181, Center column idx: 16, col_no: 17, chars: 華嚴經探玄記卷六十地品第二十二八不動地離障證理成行得果釋文礩請分二三
