汉字	max综合类型	max综合正字	min综合类型	min综合正字
一	0	一	0	一
丁	0	丁	0	丁
丂	2	考&丂	2	考&丂
七	0	七	0	七
丄	1	上	1	上
丅	1	下	1	下
万	2	萬&万	2	萬&万
丈	0	丈	0	丈
三	0	三	0	三
上	0	上	0	上
下	0	下	0	下
丌	2	其&丌	2	其&丌
不	0	不	0	不
与	2	與&与	1	與
丏	0	丏	0	丏
丐	0	丐	0	丐
丑	2	丑&醜	0	丑
丒	3	丑&醜	1	丑
专	1	專	1	專
且	2	且&旦	0	且
丕	0	丕	0	丕
世	0	世	0	世
丗	1	世	1	世
丘	0	丘	0	丘
丙	0	丙	0	丙
业	3	丘&北&業	1	業
丛	1	叢	1	叢
东	1	東	1	東
丝	1	絲	1	絲
丞	0	丞	0	丞
丟	0	丟	0	丟
丠	1	丘	1	丘
両	1	兩	1	兩
丢	1	丟	1	丟
丣	2	丣&卯&酉	3	卯&酉
两	1	兩	1	兩
严	1	嚴	1	嚴
並	0	並	0	並
丧	1	喪	1	喪
丨	0	丨	0	丨
丩	0	丩	0	丩
个	1	個	1	個
丫	2	丫&枒	0	丫
中	0	中	0	中
丮	0	丮	0	丮
丯	0	丯	0	丯
丰	2	豐&丰&丯	2	豐&丰
丱	2	礦&丱	2	礦&丱
串	0	串	0	串
丳	0	丳	0	丳
临	1	臨	3	
丵	0	丵	0	丵
丶	0	丶	0	丶
丸	0	丸	0	丸
丹	2	丹&舟	0	丹
为	1	爲	1	爲
主	0	主	0	主
丼	2	井&丼	2	井&丼
丽	1	麗	1	麗
举	1	舉	1	舉
丿	0	丿	0	丿
乀	0	乀	0	乀
乁	2	及&乀&乁	0	乁
乂	2	五&義&乂	2	五&義&乂
乃	0	乃	0	乃
久	0	久	0	久
乆	1	久	1	久
乇	0	乇	0	乇
么	2	么&麼	1	麼
义	3	叉&義	1	義
之	0	之	0	之
乌	1	烏	1	烏
乍	0	乍	0	乍
乎	0	乎	0	乎
乏	0	乏	0	乏
乐	1	樂	3	
乑	2	攀&眾&乑	0	乑
乒	0	乒	0	乒
乓	0	乓	0	乓
乔	2	喬&乔	1	喬
乕	1	虎	3	
乖	0	乖	0	乖
乗	1	乘	1	乘
乘	0	乘	0	乘
乙	2	乙&鳦	2	乙&鳦
乚	3	乙&隱	3	乙&隱
乜	0	乜	0	乜
九	0	九	0	九
乞	0	乞	0	乞
也	2	也&匜	2	也&匜
习	1	習	1	習
乡	1	鄉	1	鄉
乢	2	乢&蓋	1	蓋
乣	0	乣	0	乣
书	1	書	1	書
乨	3	亂&始	3	亂&始
乩	0	乩	0	乩
乪	0	乪	0	乪
买	1	買	1	買
乱	1	亂	1	亂
乳	0	乳	0	乳
乴	2	乴&𢯳	2	乴&𢯳
乵	0	乵	0	乵
乹	1	乾	1	乾
乾	0	乾	0	乾
乿	2	亂&治&乿	2	亂&治&乿
亀	1	龜	1	龜
亁	1	乾	1	乾
亂	0	亂	0	亂
亃	0	亃	0	亃
亄	0	亄	0	亄
亅	0	亅	0	亅
了	2	了&瞭	2	了&瞭
亇	1	個	1	個
予	0	予	0	予
争	1	爭	1	爭
亊	1	事	3	
事	0	事	0	事
二	2	上&二	0	二
亍	0	亍	0	亍
于	2	于&於	0	于
亏	3	于&虧	1	虧
亐	1	於	3	
云	2	云&雲	2	云&雲
互	2	互&氐	0	互
亓	2	其&亓	2	其&亓
五	0	五	0	五
井	0	井	0	井
亖	1	四	1	四
亗	1	歲	1	歲
亘	2	亙&桓&亘	1	亙
亙	0	亙	0	亙
亚	1	亞	1	亞
些	0	些	0	些
亜	1	亞	1	亞
亝	1	齊	1	齊
亞	2	丫&亞&椏	0	亞
亟	0	亟	0	亟
亠	0	亠	0	亠
亡	0	亡	0	亡
亢	0	亢	0	亢
亣	3	其&大&亓	3	其&大&亓
交	0	交	0	交
亥	0	亥	0	亥
亦	0	亦	0	亦
产	1	産	1	産
亨	2	亨&享&烹	0	亨
亩	1	畝	1	畝
享	2	亨&享	0	享
京	0	京	0	京
亭	0	亭	0	亭
亮	0	亮	0	亮
亯	3	亨&享&烹	3	亨&享&烹
亰	3	京&原	1	京
亱	1	夜	1	夜
亲	3	親&辛	1	親
亳	0	亳	0	亳
亴	0	亴	0	亴
亵	1	褻	1	褻
亶	0	亶	0	亶
亷	1	廉	1	廉
亸	1	嚲	3	
亹	2	亹&斖	0	亹
人	0	人	0	人
亼	0	亼	0	亼
亽	1	亼	3	
亾	1	亡	1	亡
亿	1	億	1	億
什	2	什&甚	2	什&甚
仁	0	仁	0	仁
仂	0	仂	0	仂
仃	0	仃	0	仃
仄	0	仄	0	仄
仅	3	付&僅&奴	1	僅
仆	2	仆&僕	2	仆&僕
仇	0	仇	0	仇
仈	0	仈	0	仈
仉	0	仉	0	仉
今	0	今	0	今
介	0	介	0	介
仌	2	仌&冰	1	冰
仍	0	仍	0	仍
从	1	從	1	從
仏	3	佛&似	1	佛
仐	1	今	3	
仑	3	侖&倉&崙	1	侖
仒	1	仌	3	
仓	1	倉	1	倉
仔	0	仔	0	仔
仕	0	仕	0	仕
他	0	他	0	他
仗	0	仗	0	仗
付	0	付	0	付
仙	0	仙	0	仙
仚	2	仙&企&仚	2	仙&企&仚
仛	3	奼&侂	3	奼&侂
仜	0	仜	0	仜
仝	2	全&同&仝	2	全&同&仝
仞	0	仞	0	仞
仟	2	千&仟	2	千&仟
仠	2	捍&仠	2	捍&仠
仡	0	仡	0	仡
仢	1	彴	1	彴
代	0	代	0	代
令	0	令	0	令
以	0	以	0	以
仦	1	仯	1	仯
仧	1	長	1	長
仨	0	仨	0	仨
仩	2	上&仩	0	仩
仪	1	儀	1	儀
们	1	們	1	們
仭	1	仞	3	
仮	3	假&反	1	反
仯	0	仯	0	仯
仰	0	仰	0	仰
仱	0	仱	0	仱
仲	0	仲	0	仲
仳	0	仳	0	仳
仴	0	仴	0	仴
仵	0	仵	0	仵
件	0	件	0	件
价	2	價&价	2	價&价
仸	2	佛&仸	2	佛&仸
仹	0	仹	0	仹
仺	1	倉	1	倉
任	0	任	0	任
仼	3	俇&彺	1	彺
份	2	份&彬	2	份&彬
仾	1	低	1	低
仿	0	仿	0	仿
伀	0	伀	0	伀
企	0	企	0	企
伂	0	伂	0	伂
伃	2	伃&妤	1	妤
伄	0	伄	0	伄
伅	0	伅	0	伅
伆	0	伆	0	伆
伇	1	役	1	役
伈	0	伈	0	伈
伉	0	伉	0	伉
伊	0	伊	0	伊
伋	0	伋	0	伋
伌	0	伌	0	伌
伍	2	五&伍	2	五&伍
伎	0	伎	0	伎
伏	0	伏	0	伏
伐	0	伐	0	伐
休	0	休	0	休
伒	0	伒	0	伒
伓	2	伾&伓	2	伾&伓
伔	2	伔&抌	0	伔
伕	0	伕	0	伕
伖	1	帑	1	帑
众	3	眾&乑	1	眾
优	2	優&优	1	優
伙	2	伙&夥	2	伙&夥
会	1	會	1	會
伛	1	傴	1	傴
伜	1	倅	1	倅
伝	2	傳&伝	2	傳&伝
伞	1	傘	1	傘
伟	1	偉	1	偉
传	1	傳	1	傳
伡	1	俥	3	
伢	0	伢	0	伢
伣	1	俔	3	
伤	1	傷	1	傷
伥	1	倀	1	倀
伦	1	倫	1	倫
伧	1	傖	1	傖
伨	3	徇&侚	1	徇
伩	1	信	3	
伪	1	僞	1	僞
伫	1	佇	3	
伬	2	尺&伬	0	伬
伭	2	𠆺&伭	0	伭
伮	1	努	1	努
伯	0	伯	0	伯
估	0	估	0	估
伱	1	你	1	你
伲	1	你	1	你
伳	0	伳	0	伳
伴	0	伴	0	伴
伵	2	伵&侐	1	侐
伶	0	伶	0	伶
伷	2	胄&伷	1	胄
伸	0	伸	0	伸
伹	2	徂&伹	2	徂&伹
伺	0	伺	0	伺
伻	0	伻	0	伻
似	0	似	0	似
伽	2	伽&茄	2	伽&茄
伾	0	伾	0	伾
伿	0	伿	0	伿
佀	1	似	1	似
佁	0	佁	0	佁
佂	2	征&佂	2	征&佂
佃	0	佃	0	佃
佄	1	酣	1	酣
佅	2	佅&𠇱	2	佅&𠇱
但	0	但	0	但
佇	0	佇	0	佇
佈	0	佈	0	佈
佉	0	佉	0	佉
佊	2	彼&佊	2	彼&佊
佋	2	昭&紹&佋	2	昭&紹&佋
佌	0	佌	0	佌
位	0	位	0	位
低	0	低	0	低
住	2	住&往	2	住&往
佐	0	佐	0	佐
佑	2	佑&祐	0	佑
佒	0	佒	0	佒
体	2	笨&體&体	1	體
佔	0	佔	0	佔
何	0	何	0	何
佖	0	佖	0	佖
佗	2	他&佗&它&馱&駝	2	他&佗&它&馱&駝
佘	0	佘	0	佘
余	2	余&餘	2	余&餘
佚	0	佚	0	佚
佛	0	佛	0	佛
作	0	作	0	作
佝	0	佝	0	佝
佞	0	佞	0	佞
佟	0	佟	0	佟
你	0	你	0	你
佡	2	仙&佡	2	仙&佡
佢	0	佢	0	佢
佣	2	佣&傭	2	佣&傭
佤	0	佤	0	佤
佥	1	僉	3	
佧	0	佧	0	佧
佨	1	孕	3	
佩	0	佩	0	佩
佪	2	徊&佪	0	佪
佫	2	佫&𢓜	2	佫&𢓜
佬	0	佬	0	佬
佭	0	佭	0	佭
佮	0	佮	0	佮
佯	0	佯	0	佯
佰	2	佰&百	2	佰&百
佱	1	法	1	法
佲	3	酩&姳	3	酩&姳
佳	0	佳	0	佳
佴	0	佴	0	佴
併	0	併	0	併
佶	0	佶	0	佶
佷	0	佷	0	佷
佸	0	佸	0	佸
佹	0	佹	0	佹
佺	0	佺	0	佺
佻	0	佻	0	佻
佼	0	佼	0	佼
佽	0	佽	0	佽
佾	0	佾	0	佾
使	0	使	0	使
侀	0	侀	0	侀
侁	0	侁	0	侁
侂	2	託&侂	0	侂
侃	0	侃	0	侃
侄	2	姪&侄	2	姪&侄
侅	0	侅	0	侅
來	0	來	0	來
侇	0	侇	0	侇
侈	0	侈	0	侈
侉	0	侉	0	侉
侊	0	侊	0	侊
例	0	例	0	例
侌	1	陰	1	陰
侍	0	侍	0	侍
侎	1	敉	1	敉
侏	0	侏	0	侏
侐	0	侐	0	侐
侑	0	侑	0	侑
侒	2	安&侒	0	侒
侓	2	律&侓	2	律&侓
侔	0	侔	0	侔
侕	0	侕	0	侕
侖	0	侖	0	侖
侗	0	侗	0	侗
侘	0	侘	0	侘
侙	0	侙	0	侙
侚	2	徇&侚	2	徇&侚
供	0	供	0	供
侜	0	侜	0	侜
依	0	依	0	依
侞	0	侞	0	侞
侟	3	存&荐	3	存&荐
侠	1	俠	1	俠
価	3	似&價	3	似&價
侢	1	戴	1	戴
侣	1	侶	1	侶
侥	1	僥	1	僥
侦	1	偵	1	偵
侧	1	側	1	側
侨	1	僑	1	僑
侩	1	儈	1	儈
侪	1	儕	3	
侫	1	佞	1	佞
侬	1	儂	1	儂
侭	3	儘&盡	1	儘
侮	0	侮	0	侮
侯	0	侯	0	侯
侰	2	侰&僒	1	僒
侱	0	侱	0	侱
侲	0	侲	0	侲
侳	0	侳	0	侳
侴	2	𡚽&侴	2	𡚽&侴
侵	0	侵	0	侵
侶	0	侶	0	侶
侷	0	侷	0	侷
侸	0	侸	0	侸
侹	0	侹	0	侹
侺	2	侺&䫈	2	侺&䫈
侻	0	侻	0	侻
侼	0	侼	0	侼
侽	1	男	1	男
侾	0	侾	0	侾
便	0	便	0	便
俀	0	俀	0	俀
俁	0	俁	0	俁
係	0	係	0	係
促	0	促	0	促
俄	0	俄	0	俄
俅	0	俅	0	俅
俆	2	徐&俆	2	徐&俆
俇	0	俇	0	俇
俈	0	俈	0	俈
俉	0	俉	0	俉
俊	0	俊	0	俊
俋	0	俋	0	俋
俌	1	輔	1	輔
俍	0	俍	0	俍
俎	0	俎	0	俎
俏	0	俏	0	俏
俐	0	俐	0	俐
俑	0	俑	0	俑
俒	0	俒	0	俒
俓	2	徑&俓	0	俓
俔	2	倪&俔	0	俔
俕	0	俕	0	俕
俖	2	倍&俖	2	倍&俖
俗	0	俗	0	俗
俘	0	俘	0	俘
俙	0	俙	0	俙
俚	0	俚	0	俚
俛	2	俯&俛&頫	2	俯&俛&頫
俜	0	俜	0	俜
保	0	保	0	保
俞	0	俞	0	俞
俟	0	俟	0	俟
俠	0	俠	0	俠
信	0	信	0	信
俢	1	修	1	修
俣	1	俁	1	俁
俥	2	車&俥	0	俥
俦	1	儔	1	儔
俨	3	儼&僗	1	儼
俩	1	倆	1	倆
俪	1	儷	1	儷
俫	3	倈&徠	1	徠
俬	0	俬	0	俬
俭	1	儉	1	儉
修	0	修	0	修
俯	0	俯	0	俯
俰	0	俰	0	俰
俱	2	俱&具	0	俱
俲	3	效&傚	1	傚
俳	2	俳&徘	2	俳&徘
俴	0	俴	0	俴
俵	0	俵	0	俵
俶	0	俶	0	俶
俷	0	俷	0	俷
俸	0	俸	0	俸
俹	2	亞&俹	2	亞&俹
俺	0	俺	0	俺
俻	1	備	1	備
俼	1	鬻	1	鬻
俽	1	欣	1	欣
俾	0	俾	0	俾
俿	2	虎&傂&俿	2	虎&傂&俿
倀	0	倀	0	倀
倁	0	倁	0	倁
倂	1	併	1	併
倃	0	倃	0	倃
倄	0	倄	0	倄
倅	0	倅	0	倅
倆	0	倆	0	倆
倇	0	倇	0	倇
倈	2	倈&來&徠	3	來&徠
倉	0	倉	0	倉
倊	2	傯&倊	2	傯&倊
個	0	個	0	個
倌	0	倌	0	倌
倍	0	倍	0	倍
倎	2	腆&倎	0	倎
倏	0	倏	0	倏
倐	1	倏	1	倏
們	0	們	0	們
倒	0	倒	0	倒
倓	0	倓	0	倓
倔	0	倔	0	倔
倕	0	倕	0	倕
倖	0	倖	0	倖
倗	0	倗	0	倗
倘	0	倘	0	倘
候	0	候	0	候
倚	0	倚	0	倚
倛	0	倛	0	倛
倜	0	倜	0	倜
倝	0	倝	0	倝
倞	0	倞	0	倞
借	0	借	0	借
倠	0	倠	0	倠
倡	0	倡	0	倡
倢	0	倢	0	倢
倣	2	仿&倣	1	仿
値	1	值	1	值
倥	0	倥	0	倥
倦	0	倦	0	倦
倧	0	倧	0	倧
倨	0	倨	0	倨
倩	0	倩	0	倩
倪	0	倪	0	倪
倫	0	倫	0	倫
倬	0	倬	0	倬
倭	0	倭	0	倭
倮	1	裸	1	裸
倯	0	倯	0	倯
倰	0	倰	0	倰
倱	0	倱	0	倱
倲	0	倲	0	倲
倳	0	倳	0	倳
倴	0	倴	0	倴
倵	2	岱&倵	2	岱&倵
倶	3	俱&具	1	俱
倷	0	倷	0	倷
倸	1	睬	1	睬
倹	1	儉	1	儉
债	1	債	1	債
值	0	值	0	值
倽	1	啥	1	啥
倾	1	傾	1	傾
倿	1	佞	1	佞
偀	2	英&偀	0	偀
偁	0	偁	0	偁
偂	2	前&偂	0	偂
偃	0	偃	0	偃
偄	2	儒&偄	2	儒&偄
偅	2	僮&憧&偅	2	僮&憧&偅
偆	0	偆	0	偆
假	0	假	0	假
偈	0	偈	0	偈
偉	0	偉	0	偉
偊	0	偊	0	偊
偋	0	偋	0	偋
偌	0	偌	0	偌
偍	2	偍&媞	0	偍
偎	0	偎	0	偎
偏	0	偏	0	偏
偐	1	贗	1	贗
偑	0	偑	0	偑
偒	0	偒	0	偒
偓	0	偓	0	偓
偔	0	偔	0	偔
偕	0	偕	0	偕
偖	1	撦	1	撦
偗	0	偗	0	偗
偘	3	侃&儼	1	侃
偙	0	偙	0	偙
做	0	做	0	做
偛	0	偛	0	偛
停	0	停	0	停
偝	0	偝	0	偝
偞	0	偞	0	偞
偟	0	偟	0	偟
偠	0	偠	0	偠
偡	0	偡	0	偡
偢	2	偢&僽	2	偢&僽
偣	0	偣	0	偣
偤	0	偤	0	偤
健	0	健	0	健
偦	0	偦	0	偦
偧	2	奓&偧	0	偧
偨	0	偨	0	偨
偩	2	負&偩	2	負&偩
偪	2	逼&偪&畐	2	逼&偪&畐
偫	0	偫	0	偫
偬	1	傯	1	傯
偭	0	偭	0	偭
偮	0	偮	0	偮
偯	0	偯	0	偯
偰	0	偰	0	偰
偱	2	循&偱	2	循&偱
偲	0	偲	0	偲
偳	0	偳	0	偳
側	0	側	0	側
偵	0	偵	0	偵
偶	0	偶	0	偶
偷	0	偷	0	偷
偸	1	偷	1	偷
偹	1	備	1	備
偺	2	偺&喒	0	偺
偻	1	僂	1	僂
偼	1	倢	1	倢
偽	1	僞	1	僞
偾	1	僨	3	
偿	1	償	1	償
傀	0	傀	0	傀
傁	2	傁&叟	1	叟
傂	0	傂	0	傂
傃	0	傃	0	傃
傄	0	傄	0	傄
傅	0	傅	0	傅
傆	0	傆	0	傆
傇	0	傇	0	傇
傈	0	傈	0	傈
傉	0	傉	0	傉
傊	0	傊	0	傊
傋	0	傋	0	傋
傌	2	罵&馬&傌	0	傌
傍	0	傍	0	傍
傎	2	顛&傎	1	顛
傏	0	傏	0	傏
傐	0	傐	0	傐
傑	0	傑	0	傑
傒	0	傒	0	傒
傓	1	煽	1	煽
傔	0	傔	0	傔
傕	0	傕	0	傕
傖	0	傖	0	傖
傗	0	傗	0	傗
傘	2	傘&繖	0	傘
備	0	備	0	備
傚	2	效&傚	0	傚
傛	0	傛	0	傛
傜	0	傜	0	傜
傝	0	傝	0	傝
傞	0	傞	0	傞
傟	2	傟&慃	0	傟
傠	2	伐&傠	0	傠
傡	1	並	1	並
傢	2	傢&像	0	傢
傣	0	傣	0	傣
傤	1	儎	3	
傥	1	儻	1	儻
傦	1	愲	3	
傧	1	儐	1	儐
储	1	儲	1	儲
傩	1	儺	1	儺
傪	0	傪	0	傪
傫	1	儽	1	儽
催	0	催	0	催
傭	0	傭	0	傭
傮	0	傮	0	傮
傯	0	傯	0	傯
傰	0	傰	0	傰
傱	0	傱	0	傱
傲	0	傲	0	傲
傳	2	傅&傳	0	傳
傴	2	軀&傴	0	傴
債	0	債	0	債
傶	2	戚&傶	2	戚&傶
傷	0	傷	0	傷
傸	0	傸	0	傸
傹	3	僵&倞	3	僵&倞
傺	0	傺	0	傺
傻	0	傻	0	傻
傼	0	傼	0	傼
傽	0	傽	0	傽
傾	0	傾	0	傾
傿	0	傿	0	傿
僀	2	偙&僀	2	偙&僀
僁	0	僁	0	僁
僂	0	僂	0	僂
僃	1	備	1	備
僄	0	僄	0	僄
僅	0	僅	0	僅
僆	0	僆	0	僆
僇	0	僇	0	僇
僈	0	僈	0	僈
僉	0	僉	0	僉
僊	2	仙&僊	0	僊
僋	0	僋	0	僋
僌	0	僌	0	僌
働	2	働&動	1	動
僎	0	僎	0	僎
像	0	像	0	像
僐	0	僐	0	僐
僑	0	僑	0	僑
僒	0	僒	0	僒
僓	0	僓	0	僓
僔	2	尊&僔	2	尊&僔
僕	0	僕	0	僕
僖	0	僖	0	僖
僗	2	勞&僗	0	僗
僘	2	敞&僘	0	僘
僙	2	趪&僙	2	趪&僙
僚	0	僚	0	僚
僛	0	僛	0	僛
僜	0	僜	0	僜
僝	0	僝	0	僝
僞	0	僞	0	僞
僟	0	僟	0	僟
僠	0	僠	0	僠
僡	1	惠	1	惠
僢	3	舛&踳	3	舛&踳
僣	2	僭&僣	0	僣
僤	0	僤	0	僤
僥	0	僥	0	僥
僦	0	僦	0	僦
僧	0	僧	0	僧
僨	0	僨	0	僨
僩	0	僩	0	僩
僪	0	僪	0	僪
僫	1	惡	1	惡
僬	0	僬	0	僬
僭	0	僭	0	僭
僮	0	僮	0	僮
