径山藏经编码,如是经编码,CBETA经编码,标点类型,标点来源
JS_1,RS_0246,T0220,新式標點,眾生出版社提供新式標點
JS_2,RS_0247,T0221,新式標點,CBETA提供新式標點
JS_3,RS_0249,T0223,新式標點,CBETA提供新式標點
JS_4,RS_0248,T0222,新式標點,MichelleYuandKitty提供新式標點
JS_5,RS_0250,T0224,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_6,RS_0253,T0227,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_7,RS_0252,T0226,新式標點,CBETA提供新式標點
JS_8,RS_0251,T0225,新式標點,CBETA提供新式標點
JS_9,RS_0256,T0231,新式標點,CBETA提供新式標點
JS_10,RS_0260,T0235,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_11,RS_0261,T0236a,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_12,RS_0262,T0237,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_13,RS_0264,T0220,新式標點,眾生出版社提供新式標點
JS_14,RS_0265,T0239,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_15,RS_0263,T0238,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_16,RS_0259,T0234,新式標點,CBETA提供新式標點
JS_17,RS_0271,T0245,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_18,RS_0266,T0240,新式標點,CBETA提供新式標點
JS_19,RS_0278,T0250,新式標點,CBETA提供新式標點
JS_20,RS_0277,T0251,新式標點,摩訶工作室提供新式標點
JS_21,RS_0257,T0232,新式標點,CBETA提供新式標點
JS_22,RS_0258,T0233,新式標點,CBETA提供新式標點
JS_23,RS_0342,T0310,新式標點,CBETA提供新式標點
JS_24,RS_0343,T0311,新式標點,西蓮淨苑提供新式標點
JS_25,RS_0391,T0361,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_26,RS_0392,T0362,新式標點,范振業大德提供新式標點
JS_27,RS_0390,T0360,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_28,RS_0345,T0313,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_29,RS_0346,T0314,新式標點,西蓮淨苑提供新式標點
JS_30,RS_0347,T0315b,新式標點,西蓮淨苑提供新式標點
JS_31,RS_0350,T0318,新式標點,西蓮淨苑提供新式標點
JS_32,RS_0349,T0317,新式標點,西蓮淨苑提供新式標點
JS_33,RS_0355,T0322,新式標點,黃金愛大德提供新式標點
JS_34,RS_0354,T0323,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_35,RS_0356,T0324,新式標點,黃金愛大德提供新式標點
JS_36,RS_0357,T0325,新式標點,Jasmine提供新式標點
JS_37,RS_0359,T0327,新式標點,西蓮淨苑提供新式標點
JS_38,RS_0364,T0332,新式標點,陳伯勳大德提供新式標點
JS_39,RS_0366,T0334,新式標點,陳伯勳大德提供新式標點
JS_40,RS_0366z,T0335,新式標點,西蓮淨苑提供新式標點
JS_41,RS_0368,T0338,新式標點,西蓮淨苑提供新式標點
JS_42,RS_0367,T0337,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_43,RS_0360,T0328,新式標點,Jasmine提供新式標點
JS_44,RS_0361,T0329,新式標點,Jasmine提供新式標點
JS_45,RS_0369,T0339,新式標點,西蓮淨苑提供新式標點
JS_46,RS_0370,T0340,新式標點,齊丐提供新式標點
JS_47,RS_0372,T0342,新式標點,西蓮淨苑提供新式標點
JS_48,RS_0371,T0341,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_49,RS_0373,T0343,新式標點,西蓮淨苑提供新式標點
JS_50,RS_0374,T0344,新式標點,西蓮淨苑提供新式標點
JS_51,RS_0385,T0355,新式標點,邱昱翔提供新式標點
JS_52,RS_0375,T0345,新式標點,西蓮淨苑提供新式標點
JS_53,RS_0377,T0347,新式標點,西蓮淨苑提供新式標點
JS_54,RS_0378,T0348,新式標點,西蓮淨苑提供新式標點
JS_55,RS_0379,T0349,新式標點,西蓮淨苑提供新式標點
JS_56,RS_0389,T0358,新式標點,陳伯勳大德提供新式標點
JS_57,RS_0380,T0350,新式標點,陳伯勳大德提供新式標點
JS_58,RS_0381,T0351,新式標點,邱昱翔提供新式標點
JS_59,RS_0383,T0353,新式標點,黃金愛大德提供新式標點
JS_60,RS_0384,T0354,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_61,RS_0433,T0397,新式標點,Jasmine提供新式標點
JS_62,RS_0434,T0397,新式標點,Jasmine提供新式標點
JS_63,RS_0435,T0397,新式標點,Jasmine提供新式標點
JS_64,RS_0451,T0411,新式標點,Lilneige提供新式標點
JS_65,RS_0452,T0410,新式標點,范振業大德提供新式標點
JS_66,RS_0436,T0397,新式標點,Jasmine提供新式標點
JS_67,RS_0449,T0408,新式標點,李明芳大德提供新式標點
JS_68,RS_0446,T0405,新式標點,李明芳大德提供新式標點
JS_69,RS_0447,T0407,新式標點,黃金愛大德提供新式標點
JS_70,RS_0450,T0409,新式標點,黃金愛大德提供新式標點
JS_71,RS_0455,T0414,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_72,RS_0456,T0415,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_73,RS_0458,T0418,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_74,RS_0438,T0403,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_75,RS_0457,T0416,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_76,RS_0460,T0419,新式標點,陳伯勳大德提供新式標點
JS_77,RS_0437,T0397,新式標點,Jasmine提供新式標點
JS_78,RS_0463,T0422,新式標點,陳伯勳大德提供新式標點
JS_79,RS_0440,T0398,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_80,RS_0441,T0399,新式標點,黃金愛大德提供新式標點
JS_81,RS_0443,T0401,新式標點,張曌昱大德提供新式標點
JS_82,RS_0461,T0420,新式標點,朱輝提供新式標點
JS_83,RS_0462,T0421,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_84,RS_0445,T0402,新式標點,Jasmine提供新式標點
JS_85,RS_0335,T0302,新式標點,陳伯勳大德提供新式標點
JS_86,RS_1163,T1130,新式標點,李明芳大德提供新式標點
JS_87,RS_0310,T0278,新式標點,眾生出版社提供新式標點
JS_88,RS_0309,T0279,新式標點,摩訶工作室提供新式標點
JS_89,RS_0324,T0293,新式標點,眾生出版社提供新式標點
JS_90,RS_0337,T0305,新式標點,Jasmine提供新式標點
JS_91,RS_0336,T0303,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_92,RS_0322,T0291,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_93,RS_0334,T0304,新式標點,釋永真法師提供新式標點
JS_94,RS_0338,T0306,新式標點,陳伯勳大德提供新式標點
JS_95,RS_0320,T0289,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_96,RS_0333,T0300,新式標點,果赴提供新式標點
JS_97,RS_0332,T0301,新式標點,果赴提供新式標點
JS_98,RS_0330,T0298,新式標點,果赴提供新式標點
JS_99,RS_0339,T0307,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_100,RS_0312,T0281,新式標點,陳伯勳大德提供新式標點
JS_101,RS_0327,T0295,新式標點,果赴提供新式標點
JS_102,RS_0311,T0280,新式標點,佩君、廖予安大德提供新式標點
JS_103,RS_0340,T0308,新式標點,陳伯勳大德提供新式標點
JS_104,RS_0323,T0292,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_105,RS_0317,T0286,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_106,RS_0326,T0294,新式標點,果赴提供新式標點
JS_107,RS_0313,T0282,新式標點,佩君、廖予安大德提供新式標點
JS_108,RS_0314,T0283,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_109,RS_0315,T0284,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_110,RS_0319,T0288,新式標點,黃金愛大德提供新式標點
JS_111,RS_0629,T0458,新式標點,Jasmine提供新式標點
JS_112,RS_0316,T0285,新式標點,范振業大德提供新式標點
JS_113,RS_0409,T0374,新式標點,李鑫森提供新式標點
JS_114,RS_0410,T0375,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_115,RS_0412,T0377,新式標點,毛佩君、廖予安大德提供新式標點
JS_116,RS_0413,T0378,新式標點,李明芳大德提供新式標點
JS_117,RS_0415,T0380,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_118,RS_0007,T0007,新式標點,法雨道場提供新式標點
JS_119,RS_0006,T0006,新式標點,法雨道場提供新式標點
JS_120,RS_0411,T0376,新式標點,范振業大德提供新式標點
JS_121,RS_0414,T0379,新式標點,毛佩君、廖予安大德提供新式標點
JS_122,RS_0424,T0389,新式標點,張曌昱大德提供新式標點
JS_123,RS_0425,T0390,新式標點,陳伯勳大德提供新式標點
JS_124,RS_0427,T0392,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_125,RS_0426,T0391,新式標點,Ccz提供新式標點
JS_126,RS_0757,T0665,新式標點,范振業大德提供新式標點
JS_127,RS_0758,T0663,新式標點,Melon提供新式標點
JS_128,RS_0417,T0381,新式標點,范振業大德提供新式標點
JS_129,RS_0416,T0382,新式標點,毛佩君、廖予安大德提供新式標點
JS_130,RS_0759,T0664,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_131,RS_0745,T0646,新式標點,陳伯勳大德提供新式標點
JS_132,RS_0746,T0645,新式標點,黃金愛大德提供新式標點
JS_133,RS_0307,T0276,新式標點,CBETA提供新式標點
JS_134,RS_0292,T0262,新式標點,CBETA提供新式標點
JS_135,RS_0300,T0269,新式標點,毛佩君、廖予安大德提供新式標點
JS_136,RS_0295,T0265,新式標點,CBETA提供新式標點
JS_137,RS_0296,T0262,新式標點,CBETA提供新式標點
JS_138,RS_0293,T0263,新式標點,佛教電腦資訊庫功德會提供新式標點
JS_139,RS_0294,T0264,新式標點,范振業大德提供新式標點
JS_140,RS_0802,T0717,新式標點,陳伯勳大德提供新式標點
JS_141,RS_0803,T0716,新式標點,陳伯勳大德提供新式標點
JS_142,RS_0217,T0157,新式標點,藍世任大德提供新式標點
JS_143,RS_0212,T0152,新式標點,法雨道場提供新式標點
JS_144,RS_0650,T0478,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_145,RS_0649,T0477,新式標點,釋心植法師提供新式標點
JS_146,RS_0645,T0475,新式標點,西蓮淨苑提供新式標點
JS_147,RS_0646,T0474,新式標點,法雲資訊網提供新式標點
JS_148,RS_0834,T0816,新式標點,JaeroChen提供新式標點
JS_149,RS_0647,T0476,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_150,RS_0299,T0266,新式標點,毛佩君、廖予安大德提供新式標點
JS_151,RS_0659,T0660,新式標點,三寶弟子提供新式標點
JS_152,RS_0661,T0658,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_153,RS_0833,T0815,新式標點,JaeroChen提供新式標點
JS_154,RS_0773a,T0678,新式標點,張裕蓮提供新式標點
JS_155,RS_0773b,T0679,新式標點,陳伯勳大德提供新式標點
JS_156,RS_0772,T0677,新式標點,西蓮淨苑提供新式標點
JS_157,RS_0298,T0267,新式標點,范振業大德提供新式標點
JS_158,RS_0297,T0268,新式標點,范振業大德提供新式標點
JS_159,RS_0244,T0187,新式標點,法雨道場提供新式標點
JS_160,RS_0245,T0186,新式標點,范振業大德提供新式標點
JS_161,RS_0726,T0624,新式標點,毛佩君、廖予安、廖予慈大德提供新式標點
JS_162,RS_0752,T0651,新式標點,黃金愛大德提供新式標點
JS_163,RS_0725,T0625,新式標點,黃金愛大德提供新式標點
JS_164,RS_0751,T0650,新式標點,陳伯勳大德提供新式標點
JS_165,RS_0653,T0481,新式標點,Jasmine提供新式標點
JS_166,RS_0652,T0482,新式標點,Jasmine提供新式標點
JS_167,RS_1381,T1331,新式標點,Jasmine提供新式標點
JS_168,RS_0631,T0461,新式標點,Jasmine提供新式標點
JS_169,RS_0630,T0462,新式標點,CBETA提供新式標點
JS_170,RS_0619,T0449,新式標點,清涼月提供新式標點
JS_171,RS_0620,T0450,新式標點,中華佛教百科文獻基金會提供新式標點
JS_172,RS_0621,T0451,新式標點,Xian大德提供新式標點
JS_173,RS_0728,T0626,新式標點,李明芳大德提供新式標點
JS_174,RS_0764,T0670,新式標點,西蓮淨苑提供新式標點
JS_175,RS_0765,T0671,新式標點,范振業大德提供新式標點
JS_176,RS_0766,T0672,新式標點,范振業大德提供新式標點
JS_177,RS_0303,T0271,新式標點,范振業大德提供新式標點
JS_178,RS_0302,T0272,新式標點,三寶弟子提供新式標點
JS_179,RS_0218,T0158,新式標點,范振業大德提供新式標點
JS_180,RS_0648,T0479,新式標點,范振業大德提供新式標點
JS_181,RS_0729,T0627,新式標點,黃金愛大德提供新式標點
JS_182,RS_0730,T0629,新式標點,陳伯勳大德提供新式標點
JS_183,RS_0836,T0817,新式標點,JaeroChen提供新式標點
JS_184,RS_0835,T0818,新式標點,JaeroChen提供新式標點
JS_185,RS_1011,T0992,新式標點,李明芳大德提供新式標點
JS_186,RS_1012,T0993,新式標點,李明芳大德提供新式標點
JS_187,RS_1013,T0991,新式標點,李明芳大德提供新式標點
JS_188,RS_0710,T0587,新式標點,Jasmine提供新式標點
