page,issue_type,obj_id,detail
QS_22_320,CHAR_MISSING_COLUMN,b1c4c1,expected column b1c4
QS_22_320,CHAR_MISSING_COLUMN,b1c4c2,expected column b1c4
QS_22_320,CHAR_MISSING_COLUMN,b1c4c3,expected column b1c4
JS_147_776,CHAR_MISSING_COLUMN,b2c1c1,expected column b2c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c1,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c2,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c3,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c4,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c5,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c6,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c7,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c8,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c9,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c10,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c11,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c12,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c13,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c14,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c15,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c16,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c17,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c18,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c19,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c20,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c21,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c22,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c23,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c24,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c25,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c26,expected column b1c1
JS_147_777,CHAR_MISSING_COLUMN,b1c1c27,expected column b1c1
JS_203_584,COLUMN_MISSING_BLOCK,b1c1,expected block b1
GL_1496_7_11,CHAR_MISSING_COLUMN,b1c1c1,expected column b1c1
GL_1496_7_11,CHAR_MISSING_COLUMN,b1c1c2,expected column b1c1
GL_1496_7_11,CHAR_MISSING_COLUMN,b1c1c3,expected column b1c1
GL_1496_7_11,CHAR_MISSING_COLUMN,b1c1c4,expected column b1c1
GL_1496_7_11,CHAR_MISSING_COLUMN,b1c1c5,expected column b1c1
GL_1496_7_11,CHAR_MISSING_COLUMN,b1c1c6,expected column b1c1
